Coral;Fish;Age class;intercept;low.int;high.int;estimate.coral;low.coral;high.coral;estimate.turf;low.turf;high.turf;Bayesian P-value
agaricia spp;;;;;;;;;;;;
;chaenopsis ocellata;1;-0.22;-4.1;3.06;-11.17;-49.61;17.98;-2.38;-50.63;47.13;0.526
;chaetodon striatus;1;-1.18;-4.21;2.19;-18.81;-62.98;0.55;-0.83;-15.16;12.17;0.172
;priacanthus arenatus;1;-1.97;-5.68;1.9;2.9;-17.14;25.54;0.28;-3.26;6.04;0.469
;bodianus pulchellus;1;-2.56;-4.69;-1.15;-5.81;-14.69;-0.46;0.08;-0.77;0.97;0.099
;chaetodon sedentarius;1;-0.43;-4.1;2.94;-18.64;-57.41;7.24;17.26;-11.5;57.33;0.238
;elacatinus figaro;1;-0.3;-4.18;2.95;-12.18;-49.94;15.32;-5.79;-58.81;51.64;0.541
;serranus baldwini;1;-0.39;-3.75;2.8;-19.73;-64.61;8.46;0.05;-14.91;13.75;0.401
;sphoeroides greeleyi;1;-0.5;-4.47;2.95;-12.53;-50.2;15.14;-3.67;-54.78;49.5;0.548
;stephanolepis hispidus;1;-2.35;-4.59;-0.91;-6.39;-15.32;-0.64;0.05;-0.73;0.9;0.012
;sparisoma tuiupiranga;1;-2.85;-5.2;-0.15;-5.28;-17.82;2.66;-0.11;-1.45;1.3;0.462
;epinephelus morio;1;-0.41;-3.58;2.89;-18.63;-62.42;8.43;11.72;0.08;38.06;0.238
;heteropriacanthus cruentatus;1;-0.49;-4.12;2.66;-0.97;-42.76;35.15;-25.95;-64.44;2;0.453
;myrichthys ocellatus;1;-0.4;-3.83;2.61;-1.69;-44.5;36.67;-28.22;-67.48;0.66;0.445
;acanthostracion quadricornis;1;-0.38;-4.04;2.62;2.02;-46.24;41.77;-25.05;-68.54;2.64;0.394
;epinephelus marginatus;1;-1.98;-4.64;0.51;-3.22;-15.24;9.93;8.51;1.26;26.97;0.09
;mugil curema;1;-0.66;-4.48;2.38;9.87;-34.24;55.16;-23.91;-67.6;0.18;0.373
;orthopristis ruber;1;-0.03;-2.86;2.88;-9.31;-49.9;18.96;32.47;3.56;73.74;0.168
;kyphosus vaigiensis;1;-2.69;-6.69;1.58;7.19;-17.76;52.47;8.16;-0.43;35.9;0.136
;mycteroperca interstitialis;1;-0.73;-4.3;2.44;15.44;-20.41;54.48;16.63;-0.12;52.72;0.538
;eucinostomus melanopterus;1;-1.01;-4.89;2.02;29.88;-1.49;66.17;7;0.8;15.23;0.501
;lutjanus cyanopterus;1;-1.45;-5.68;1.99;22.09;-20.05;67.86;10.92;0.72;36.14;0.321
;calamus penna;1;-0.27;-3.82;2.74;-13.85;-52.32;14.02;-15.33;-64.37;35.82;0.61
;seriola rivoliana;1;-0.24;-3.67;2.92;-15.69;-54.83;13.32;-9.11;-60.97;47.27;0.614
;parablennius pilicornis;1;-0.37;-3.72;2.74;5.28;-43.22;52.59;23.06;-0.82;59.09;0.694
;pareques acuminatus;1;-0.15;-3.05;2.81;0.39;-44.95;42.34;28.12;-2.69;64.18;0.71
;rhomboplites aurorubens;1;-1.55;-5.34;1.95;11.95;-6.65;35.69;2.39;-0.59;6.68;0.542
;sphoeroides testudineus;1;-0.17;-3.25;2.74;0.03;-48.63;42.35;25.19;-14.42;64.98;0.793
;myripristis jacobus;1;-0.39;-3.73;2.62;-1.71;-47.95;38.28;19.59;-12.68;59.62;0.754
;acanthurus chirurgus;2;0.13;-2.05;2.47;13.27;2;26.19;-1.29;-2.89;0.1;0.428
;chaenopsis ocellata;2;-3.26;-5.16;-1.79;-4.4;-10.81;-0.08;-1.43;-2.68;-0.36;0.555
;sparisoma frondosum;2;0.62;-1.21;3.04;6.09;-2.31;16.55;-1.17;-3.55;0.42;0.656
;sparisoma axillare;2;-0.5;-3.73;2.8;-23.9;-64.81;7.52;-13.79;-38.02;-0.71;0.364
;sparisoma radians;2;1.1;-1.1;4.07;-5.49;-28.64;9.16;-2.39;-8.39;0.59;0.411
;stegastes variabilis;2;-0.19;-1.58;1.78;1.72;-3.54;10.66;0.69;-0.4;1.94;0.235
;thalassoma noronhanum;2;-2.23;-3.89;-1.04;-5.86;-12.73;-1.15;-1.23;-2.17;-0.38;0.262
;acanthurus coeruleus;2;0.11;-1.85;2.92;6.17;0.75;15.9;-2.13;-7.78;0.44;0.093
;chaetodon striatus;2;3.49;1.33;6.82;4.71;0.08;11.94;1.69;0.15;3.95;0
;stegastes fuscus;2;1.86;0.83;3.14;4.67;0.79;9.85;1.04;0.26;1.93;0.009
;amblycirrhitus pinos;2;-0.37;-3.56;2.58;7.14;-35.35;44.81;-30.79;-65.14;-0.47;0.711
;chromis multilineata;2;0.36;-2.51;3.37;-34.56;-72.97;-5.63;13.71;-0.02;32.65;0.245
;haemulon squamipinna;2;-1.52;-3;1.01;0.64;-4.13;11.55;-1.8;-7.18;0.57;0.326
;halichoeres brasiliensis;2;-0.09;-3.1;2.82;21.3;2.88;49.42;-29.72;-64.53;-0.46;0.371
;halichoeres penrosei;2;-0.43;-3.73;2.6;-8.55;-36.35;13.17;-25.13;-59.43;-2.88;0.256
;halichoeres poeyi;2;-0.25;-0.93;0.47;0.82;-0.23;2.51;0.51;-0.23;1.32;0.017
;ophioblennius macclurei;2;-0.1;-2.93;2.8;3.31;-42.98;42.71;-29.88;-70.44;3.12;0.781
;serranus baldwini;2;-2.27;-4.49;-0.8;-7.27;-17.25;-0.86;-0.06;-1.13;0.8;0.03
;haemulon aurolineatum;2;1.09;-1.4;4.13;9.43;1.29;21.48;9.06;-0.11;27.86;0.525
;abudefduf saxatilis;2;1.24;0.23;2.63;1.58;-0.3;4.71;1.35;0.41;2.48;0.063
;stegastes rocasensis;2;-2.21;-3.58;-1.17;-3.27;-8.63;-0.06;-0.38;-1.18;0.42;0.447
;apogon americanus;2;-0.22;-3.69;2.87;-16.01;-54.88;16.09;4.22;-45;59.02;0.658
;halichoeres radiatus;2;0.19;-2.36;3.06;-34.07;-74.29;-4.1;-3.69;-10.57;0.3;0.487
;coryphopterus glaucofraenum;2;0.48;-2.22;3.45;-30.48;-72.99;8.24;-3.89;-12.1;1.05;0.672
;acanthurus bahianus;2;-2.07;-3.39;-0.89;3.77;0.48;8.53;1.71;0.24;3.59;0.027
;cryptotomus roseus;2;-0.43;-1.12;0.3;0.92;-0.2;2.64;0.49;-0.25;1.31;0
;sparisoma tuiupiranga;2;-0.75;-1.47;-0.03;1.56;0.11;3.84;0.02;-0.69;0.75;0.137
;haemulon plumierii;2;-1.19;-5.1;1.99;36.3;4.36;76.69;0.77;-12.82;10.95;0.423
;canthigaster figueiredoi;2;1.32;-0.25;3.77;2.44;-0.38;9.13;1.9;0.06;5.09;0.014
;malacoctenus delalandii;2;-0.53;-4.03;2.62;-5.57;-53;34.02;18.09;-20.04;63.91;0.595
;ocyurus chrysurus;2;-0.32;-3.75;2.76;-8.65;-56.92;32.07;15.31;-22.25;57.09;0.628
;pomacanthus paru;2;-0.45;-4.03;2.65;-4.83;-51.93;37.07;19;-17.15;61.06;0.594
;scarus zelindae;2;0.15;-2.79;3.29;-33.27;-71.48;-1.37;-0.96;-26.54;24.91;0.348
;anisotremus moricandi;2;-1.6;-5.32;2.03;0.43;-28.75;22.73;-1.32;-34.66;19.36;0.483
;sphoeroides spengleri;2;-1.41;-3.96;1.11;-9.43;-29.77;-0.47;2.02;-0.35;7.84;0.253
;chaetodon sedentarius;2;-2.94;-5.24;-1.39;-6.39;-16.33;-0.41;-0.36;-1.51;0.65;0.631
;bodianus pulchellus;2;0.06;-2.99;3.01;-17.28;-56.76;9.45;25.33;-1.79;64.41;0.652
;chilomycterus spinosus spinosus;2;-0.36;-4.03;2.83;-11.6;-49.13;17.56;-5.24;-55.39;42.55;0.532
;holocentrus adscensionis;2;-0.16;-3.38;2.91;-16.33;-51.27;9.36;-25.82;-66.57;7.75;0.31
;pseudupeneus maculatus;2;-2.02;-4.7;1.54;-12.45;-54.51;0.67;1.61;-10.62;21.88;0.179
;stephanolepis hispidus;2;-3.09;-5.19;-1.66;-5.18;-13.76;-0.17;-0.17;-1.14;0.82;0.363
;bodianus rufus;2;-0.36;-3.58;2.58;6.62;-39.41;51.73;28.72;1.23;61.32;0.349
;diplodus argenteus;2;0.04;-2.93;3.11;-29.97;-67.37;-1.05;7.71;-14.91;31.38;0.461
;sphoeroides greeleyi;2;-0.5;-3.91;2.53;11.11;-38.39;54.38;21.87;-0.12;58.82;0.666
;anisotremus virginicus;2;-0.42;-3.44;2.43;10.13;-42.06;56.27;24.63;0.34;62.59;0.699
;labrisomus nuchipinnis;2;-0.47;-3.94;2.53;7.17;-52.42;56.26;21.86;-0.62;56.96;0.675
;sphoeroides testudineus;2;-0.46;-3.69;2.41;12.13;-37.18;58.03;22.98;-0.02;59.23;0.677
;synodus synodus;2;-0.43;-3.79;2.6;5.32;-43.52;49.63;22.85;-1.96;65.09;0.711
;sparisoma amplum;2;-0.22;-3.43;2.76;-0.11;-50.4;43.69;24.83;-5.2;65.78;0.776
millepora alcicornis;;;;;;;;;;;;
;acanthurus bahianus;1;2.77;1.21;5.16;4.65;0.84;10.66;0.12;-0.53;0.76;0.026
millepora alcicornis;acanthurus chirurgus;1;1.1;0.43;1.84;0.6;-0.32;1.79;-0.47;-1.26;0.2;0
millepora alcicornis;haemulon plumierii;1;0.29;-0.87;2.21;2.78;0.1;6.42;-1.17;-4.26;-0.04;0.034
millepora alcicornis;halichoeres dimidiatus;1;0.56;-1.32;2.81;6.76;1.3;13.34;-1.55;-3.77;-0.03;0.026
millepora alcicornis;ocyurus chrysurus;1;-0.81;-1.59;-0.05;0.24;-0.9;1.75;-0.21;-0.94;0.49;0.002
millepora alcicornis;pomacanthus arcuatus;1;-2.42;-3.95;-1.04;-2.38;-8.27;0.44;2.47;-0.56;14.22;0.307
millepora alcicornis;pseudupeneus maculatus;1;1.81;0.77;3.43;1.7;-0.02;4.31;-0.66;-2.1;0.3;0.019
millepora alcicornis;sparisoma axillare;1;2.98;1.32;5.48;4.57;0.74;10.66;-0.82;-1.83;0.02;0.001
millepora alcicornis;sparisoma frondosum;1;2.29;0.79;4.91;3.5;0.06;10.14;-0.02;-0.74;0.65;0.043
millepora alcicornis;thalassoma noronhanum;1;-0.95;-1.67;-0.28;-0.35;-1.46;0.56;-0.61;-1.29;0.07;0.001
millepora alcicornis;abudefduf saxatilis;1;4.92;2.59;8.18;1.67;-0.95;6.61;-0.15;-2.54;1.6;0
millepora alcicornis;acanthurus coeruleus;1;0.89;-0.18;3.09;0.9;-0.97;6.2;-1.13;-2.19;-0.25;0.095
millepora alcicornis;anisotremus virginicus;1;2.2;1.03;3.98;1.97;-0.04;5.48;-0.15;-1.41;0.81;0.014
millepora alcicornis;bodianus rufus;1;1.01;-0.03;2.63;1.94;-0.46;6.21;0.43;-0.23;1.14;0.009
millepora alcicornis;carangoides bartholomaei;1;-0.49;-1.35;0.41;-0.56;-1.91;0.59;-0.17;-0.9;0.58;0.022
millepora alcicornis;caranx ruber;1;-1.05;-4.68;2.55;-22.33;-65.45;0.66;-11.29;-39.13;1.71;0.309
millepora alcicornis;haemulon aurolineatum;1;0.84;0.19;1.57;0.41;-0.44;1.59;0.17;-0.46;0.79;0
millepora alcicornis;haemulon parra;1;0.45;-1;2.35;4.35;0.78;9.55;-0.98;-2.01;-0.09;0.637
millepora alcicornis;halichoeres bivittatus;1;-0.32;-3.55;2.66;4.86;-28.72;36.6;-34.32;-70.4;-5.77;0.289
millepora alcicornis;halichoeres brasiliensis;1;2.42;0.76;4.62;6.37;2;11.96;0.73;0.02;1.5;0.001
millepora alcicornis;halichoeres poeyi;1;2.05;0.87;3.73;3.1;0.47;7.3;0.34;-0.35;1.05;0.001
millepora alcicornis;holacanthus ciliaris;1;-0.43;-1.69;1.25;-2.24;-6.61;0.11;-2.25;-6.43;-0.09;0.105
millepora alcicornis;holocentrus adscensionis;1;1.58;0.72;2.63;1.53;0.01;3.87;0.21;-0.51;0.93;0
millepora alcicornis;lutjanus jocu;1;-1.06;-2.66;0.92;-6.38;-32.1;-0.46;-1.38;-5.2;0.18;0.047
millepora alcicornis;pomacanthus paru;1;0.21;-0.42;0.9;0.18;-0.56;0.96;-0.04;-0.72;0.61;0.012
millepora alcicornis;scarus trispinosus;1;-1.34;-2.64;0.06;-1.88;-5.12;0.1;-1.29;-4.9;-0.02;0.005
millepora alcicornis;scarus zelindae;1;0.65;-0.51;2.17;4.56;1.58;8.56;-0.33;-1.04;0.39;0.005
millepora alcicornis;sparisoma amplum;1;-0.35;-1.5;1.24;2;-0.1;5.29;0.22;-0.72;1.19;0.218
millepora alcicornis;sparisoma radians;1;0.01;-1.23;1.79;3.2;0.21;7.73;-0.2;-1.12;0.67;0.353
millepora alcicornis;sphyraena barracuda;1;-2.58;-5.72;1.08;1.84;-7.92;24.59;-11.73;-52.99;-0.04;0.113
millepora alcicornis;stegastes variabilis;1;0.2;-2.34;3.27;4.43;0.12;11.41;-1.68;-6.14;0.59;0.669
millepora alcicornis;lutjanus apodus;1;-0.36;-3.62;2.58;6.85;-37.01;57.99;-26.55;-63.6;-2.78;0.753
millepora alcicornis;acanthostracion polygonius;1;0.17;-2.52;2.98;15.32;0.63;38.79;-36.49;-72.35;-8.88;0.327
millepora alcicornis;amblycirrhitus pinos;1;-0.29;-3.5;2.61;-4.59;-43.8;28.77;-29.01;-66.63;12.4;0.739
millepora alcicornis;anisotremus surinamensis;1;0.12;-2.79;3.09;-36.74;-76.06;-5.06;4.45;-12.76;20;0.31
millepora alcicornis;aulostomus maculatus;1;-0.19;-3.36;2.88;-1.77;-44.27;31.86;-33.68;-70.25;-0.44;0.728
millepora alcicornis;cantherhines pullus;1;-1.25;-2.04;-0.49;1.23;0.32;2.33;-0.19;-0.95;0.61;0.112
millepora alcicornis;canthidermis maculata;1;-2.04;-3.21;-1.03;-1.04;-3.38;0.47;-0.18;-1.03;0.68;0.28
millepora alcicornis;cephalopholis fulva;1;-1;-2.01;0.31;1.63;-0.23;5.89;-0.34;-1.15;0.45;0.15
millepora alcicornis;chromis multilineata;1;0.84;-0.22;2.38;1.64;0.01;4.85;0.36;-0.4;1.2;0.001
millepora alcicornis;clepticus brasiliensis;1;-0.66;-3.49;2.48;-19.3;-63.93;0.69;2.31;-6.89;17.37;0.389
millepora alcicornis;epinephelus adscensionis;1;-0.17;-1.7;1.63;5.8;1.53;11.66;0.05;-1.15;1.29;0.662
millepora alcicornis;halichoeres penrosei;1;-0.1;-3.01;2.81;-17.53;-52.13;3.08;-32.52;-69.94;4.7;0.403
millepora alcicornis;holacanthus tricolor;1;1.91;-0.39;4.89;0.33;-5.97;7.56;-17.59;-39.24;-3.49;0.173
millepora alcicornis;microspathodon chrysurus;1;-0.22;-1.8;1.61;6.24;1.66;12.23;-0.36;-1.56;0.81;0.428
millepora alcicornis;scomberomorus regalis;1;-0.15;-3.08;2.73;-7.97;-52.47;29.07;-27.09;-69.53;21.55;0.8
millepora alcicornis;halichoeres radiatus;1;-0.56;-1.25;0.13;-0.65;-1.77;0.21;-0.07;-0.71;0.59;0.001
millepora alcicornis;lutjanus analis;1;-0.31;-3.47;2.67;9.37;-35.46;52.49;-27.61;-62;-3.18;0.744
millepora alcicornis;mycteroperca bonaci;1;-0.04;-2.37;3.12;-20.72;-65.99;0.03;-4.34;-16.23;1.53;0.245
millepora alcicornis;pseudocaranx dentex;1;-0.07;-3.24;2.95;-24.63;-55.82;-3.04;24.61;2.37;55.58;0.47
millepora alcicornis;stegastes fuscus;1;0.46;-0.88;2.15;4.63;1.27;9.27;1.85;0.63;3.45;0.1
millepora alcicornis;bothus ocellatus;1;-0.56;-4.39;2.62;-0.04;-51.55;46;21.55;-1.37;56.46;0.608
millepora alcicornis;coryphopterus glaucofraenum;1;-0.62;-4;2.41;25.54;1.05;65.89;19.92;1.75;48.57;0.375
millepora alcicornis;malacanthus plumieri;1;-2.95;-5.25;-1.45;-3.7;-9.29;-0.28;0.35;-0.47;1.25;0.696
millepora alcicornis;stegastes rocasensis;1;-2.87;-5.22;-1.33;-4.09;-9.67;-0.49;-0.14;-0.86;0.62;0.515
millepora alcicornis;aluterus scriptus;1;-0.46;-3.26;2.66;-30.18;-73.5;-0.53;2.49;-9.7;14;0.212
millepora alcicornis;melichthys niger;1;-3.66;-5.93;-2.11;-2.62;-8.04;0.3;-0.28;-1.25;0.76;0.395
millepora alcicornis;rypticus saponaceus;1;-0.07;-2.94;2.83;13.41;-4.32;40.52;32.49;1.81;72.79;0.813
millepora alcicornis;mulloidichthys martinicus;1;-1.11;-2.93;1.46;2.64;-0.11;8.64;0.03;-1.42;1.54;0.55
millepora alcicornis;caranx latus;1;0.12;-2.93;3.15;21.32;1.14;50.64;13.87;1.38;46.17;0.498
millepora alcicornis;diodon hystrix;1;0.41;-2.16;3.23;1.93;-11.15;15.17;-24.26;-73.38;3.27;0.478
millepora alcicornis;cryptotomus roseus;1;0.83;-2.08;4.44;19.67;1.96;42.85;5.01;0;13.23;0.01
millepora alcicornis;odontoscion dentex;1;-2.52;-5.8;1.08;-4.2;-21.78;12.07;10.77;0.55;47.44;0.426
millepora alcicornis;aluterus monoceros;1;-0.06;-3.22;2.97;14.46;-42.76;61.13;21.52;0.54;55.29;0.667
millepora alcicornis;haemulon steindachneri;1;-0.94;-4.45;2.24;7.08;-16.27;34.38;33.72;8.05;69.6;0.497
millepora alcicornis;lactophrys trigonus;1;-0.05;-3.26;3;10.66;-42.44;57.89;21.54;0.41;58.21;0.659
millepora alcicornis;mycteroperca acutirostris;1;-0.33;-1.64;1.36;1.14;-0.34;4;6.32;1.48;18.94;0.225
millepora alcicornis;sphoeroides spengleri;1;0.97;-0.38;2.97;0.84;-0.64;4.09;3.23;0.89;6.94;0.014
millepora alcicornis;synodus intermedius;1;0.15;-2.71;3.09;29.56;2.85;64.3;18.9;1.4;51.15;0.688
millepora alcicornis;balistes vetula;1;-0.56;-3.98;3.17;16.51;0.56;46.04;12.63;-0.97;46.95;0.202
millepora alcicornis;canthigaster figueiredoi;1;-0.26;-2.99;2.42;22.14;1.98;53.76;22.07;1.26;54.21;0.027
millepora alcicornis;chilomycterus spinosus spinosus;1;-0.27;-2.97;2.43;43.54;16.52;78.98;3.28;-7.04;15.92;0.159
millepora alcicornis;diplodus argenteus;1;-0.43;-1.12;0.22;0.41;-0.26;1.18;1.49;0.59;2.58;0.288
millepora alcicornis;labrisomus nuchipinnis;1;-0.21;-3.28;2.86;19.94;1.52;50.55;26.7;0.86;63.03;0.4
millepora alcicornis;dactylopterus volitans;1;-0.3;-3.99;2.92;-18.11;-52.59;5.76;-1.58;-58.67;56.72;0.517
millepora alcicornis;kyphosus sectatrix;1;-0.01;-2.95;3.03;-21.59;-51.88;-1.39;4.17;-55.98;58.84;0.544
millepora alcicornis;aulostomus strigosus;1;-0.05;-3.48;2.98;-18.48;-54.56;4.68;-4.15;-61.96;54.42;0.614
millepora alcicornis;caranx crysos;1;0.94;-1.88;4;5.59;-3;16.3;-7.85;-57.66;34.29;0.648
millepora alcicornis;fistularia tabacaria;1;-0.18;-3.27;2.85;17.87;1.17;46.24;27.87;0.34;65.4;0.544
millepora alcicornis;chaenopsis ocellata;1;-0.27;-3.72;2.85;-17.17;-50.14;3.35;7.32;-52.51;61.83;0.545
millepora alcicornis;chaetodon striatus;1;-0.03;-2.17;3.19;3.79;0.15;11.65;1.26;-0.7;5.52;0.157
millepora alcicornis;priacanthus arenatus;1;-2.08;-5.76;2.1;-9.13;-41.61;3.22;0.44;-44.11;50.27;0.321
millepora alcicornis;bodianus pulchellus;1;-1.49;-2.31;-0.74;0.88;0.12;1.78;0.4;-0.44;1.4;0.095
millepora alcicornis;chaetodon sedentarius;1;-0.41;-3.42;2.42;40.93;13.07;78.16;4.24;-7.65;18.79;0.162
millepora alcicornis;elacatinus figaro;1;-0.42;-3.55;2.6;37.81;8.95;75.04;2.97;-13.86;21.41;0.676
millepora alcicornis;serranus baldwini;1;0.77;-1.29;3.42;13.57;4.88;26.65;3.08;-0.58;9.15;0.687
millepora alcicornis;sphoeroides greeleyi;1;-0.35;-3.49;2.64;39.08;9.42;79.16;2.32;-19.09;21.85;0.672
millepora alcicornis;stephanolepis hispidus;1;-0.94;-1.85;0.42;1.61;0.23;6.21;0.5;-0.35;1.66;0.013
millepora alcicornis;sparisoma tuiupiranga;1;-0.75;-3.79;2.24;38.66;4.29;77.75;3.78;-6.81;17.16;0.085
millepora alcicornis;epinephelus morio;1;-0.11;-2.99;2.76;16.14;1.82;39.05;33.16;3.47;72.2;0.233
millepora alcicornis;heteropriacanthus cruentatus;1;-1.16;-5.65;2.17;29.57;1.1;71.87;-1.67;-36.21;19.21;0.364
millepora alcicornis;myrichthys ocellatus;1;-0.98;-5.45;2.39;30;1.11;70.89;-2.44;-38.21;19.68;0.375
millepora alcicornis;acanthostracion quadricornis;1;-0.56;-3.89;2.39;35.86;4.03;73.99;0.33;-27.08;18.92;0.514
millepora alcicornis;epinephelus marginatus;1;-3.08;-6.18;-0.39;-6.6;-15.38;-1.13;7;1.13;31.27;0.132
millepora alcicornis;mugil curema;1;-0.19;-3.12;2.63;40.09;7.18;80.18;-1.16;-26.02;15.52;0.502
millepora alcicornis;orthopristis ruber;1;-0.12;-3.05;2.78;24.41;1.54;55.5;29.81;6.81;63.13;0.153
millepora alcicornis;kyphosus vaigiensis;1;-2.38;-6.58;2.07;-1.78;-42.66;38.2;11.5;-0.44;48.48;0.156
millepora alcicornis;mycteroperca interstitialis;1;-0.78;-4.64;2.59;7.62;-38.1;48.69;22.09;-4.81;62.32;0.522
millepora alcicornis;eucinostomus melanopterus;1;-4.14;-7.39;-1.19;1.25;-6.55;25.37;3.09;-0.22;11.11;0.253
millepora alcicornis;lutjanus cyanopterus;1;-1.02;-5.49;2.69;10.17;-38.6;56.6;19.62;0.45;56.32;0.439
millepora alcicornis;calamus penna;1;-0.05;-3.15;2.98;-18.68;-54.13;4.01;-8.53;-66.01;51.99;0.609
millepora alcicornis;seriola rivoliana;1;-0.25;-3.63;2.93;-17.72;-54.51;3.43;-14.23;-62.78;46;0.604
millepora alcicornis;parablennius pilicornis;1;-0.18;-3.46;2.9;-9.88;-54.21;32.25;17.91;-20.94;58.14;0.74
millepora alcicornis;pareques acuminatus;1;-0.08;-3.09;2.83;-6.55;-48.35;29.92;28.87;-9.93;67.84;0.712
millepora alcicornis;rhomboplites aurorubens;1;-4;-6.71;-1.85;-1.56;-7.24;1.74;1.67;-0.67;3.54;0.406
millepora alcicornis;sphoeroides testudineus;1;-0.16;-3.45;2.91;-11.36;-52;26.28;19.76;-26.47;61.2;0.777
millepora alcicornis;myripristis jacobus;1;-0.53;-3.88;2.49;35.79;5.52;72.96;1.19;-27.31;22.63;0.692
millepora alcicornis;acanthurus chirurgus;2;-2.77;-5.46;-0.57;-4.5;-12.17;-0.03;-2.08;-3.35;-0.36;0.54
millepora alcicornis;chaenopsis ocellata;2;-3.37;-5.76;-1.75;-3;-8.25;0.07;-0.9;-1.86;-0.03;0.554
millepora alcicornis;sparisoma frondosum;2;1.51;-1.57;5.4;-2.95;-41.71;14.97;-1.08;-6.16;6.91;0.588
millepora alcicornis;sparisoma axillare;2;0.09;-3.04;3.31;-23.53;-65.13;0.07;-12.11;-32.88;1.11;0.306
millepora alcicornis;sparisoma radians;2;1;-0.79;3.43;5.29;0.94;11.33;-1.11;-2.72;0.11;0.491
millepora alcicornis;stegastes variabilis;2;-0.56;-1.85;2.03;-2.21;-8.64;1.03;0.61;-0.34;1.77;0.225
millepora alcicornis;thalassoma noronhanum;2;-2.8;-5.33;-1.13;-5.21;-11.33;-1.05;-0.72;-1.47;-0.05;0.284
millepora alcicornis;acanthurus coeruleus;2;0.41;-1.81;3.32;-10.05;-39.29;-0.41;-6.09;-15.84;-0.52;0.174
millepora alcicornis;chaetodon striatus;2;3.02;1.15;5.86;2.39;-0.6;8.28;1.02;-0.03;2.39;0
millepora alcicornis;stegastes fuscus;2;2.72;1.01;5.18;5.47;1.27;11.38;0.65;0.02;1.37;0.013
millepora alcicornis;amblycirrhitus pinos;2;-0.3;-3.48;2.68;-2.47;-45.47;32.45;-30.47;-69.14;4.94;0.711
millepora alcicornis;chromis multilineata;2;1.94;-0.37;5.13;2.04;-2.69;8.32;4.56;0.26;13.43;0.26
millepora alcicornis;haemulon squamipinna;2;0.3;-2.37;3.08;17.22;4.44;34.8;-39.33;-70.61;-12.23;0.061
millepora alcicornis;halichoeres brasiliensis;2;-0.04;-3.25;3.15;-29.91;-71.06;-0.23;12.12;-8.5;40.13;0.47
millepora alcicornis;halichoeres penrosei;2;-0.46;-3.42;2.35;-13.87;-38.6;0.49;-33.59;-69.51;-6.4;0.197
millepora alcicornis;halichoeres poeyi;2;0.61;-0.8;2.82;4.21;0.79;10.16;0.48;-0.33;1.35;0.014
millepora alcicornis;ophioblennius macclurei;2;-0.17;-3.27;2.66;-4.94;-46.33;31.03;-31.32;-72.64;6.19;0.805
millepora alcicornis;serranus baldwini;2;-0.94;-1.77;0.02;1.24;0.21;3.04;0.36;-0.49;1.38;0.038
millepora alcicornis;haemulon aurolineatum;2;1.82;-0.75;5.12;0.5;-7.14;10.01;5.74;-2.06;17.42;0.533
millepora alcicornis;abudefduf saxatilis;2;2.37;0.61;4.84;5.16;0.76;11.47;1.09;0.22;2.07;0.109
millepora alcicornis;stegastes rocasensis;2;-2.93;-5.3;-1.4;-4.17;-9.89;-0.51;-0.15;-0.85;0.51;0.457
millepora alcicornis;apogon americanus;2;-0.12;-3.46;2.86;-21.59;-59.05;2.16;2.45;-55.35;62.11;0.694
millepora alcicornis;halichoeres radiatus;2;1.31;-1.18;4.1;-24.96;-61.55;-0.8;4.14;-1.02;11.09;0.441
millepora alcicornis;coryphopterus glaucofraenum;2;0.08;-2.86;3.05;-34.93;-70.55;-5.76;-3.71;-17.15;6.35;0.641
millepora alcicornis;acanthurus bahianus;2;-1.92;-3.96;1.1;-5.9;-30.43;0.29;8.79;-0.02;46.27;0.029
millepora alcicornis;cryptotomus roseus;2;0.93;-0.62;3.35;7.49;2.88;14.74;0.94;-0.2;2.52;0.001
millepora alcicornis;sparisoma tuiupiranga;2;0.89;-1.32;4.45;6.73;0.48;17.07;0.08;-0.81;1.2;0.047
millepora alcicornis;haemulon plumierii;2;-0.07;-3.29;2.96;12.62;-41.66;59.93;22.12;0.12;57.7;0.645
millepora alcicornis;canthigaster figueiredoi;2;2.22;0.31;4.85;5.68;1.07;11.98;2.6;0.43;6.39;0.007
millepora alcicornis;malacoctenus delalandii;2;0.01;-3.33;3.08;-3.15;-52.4;41.49;21.02;-13.6;60.7;0.638
millepora alcicornis;ocyurus chrysurus;2;-0.15;-3.45;2.85;-3.26;-51.93;41.99;21.62;-10.79;61.28;0.632
millepora alcicornis;pomacanthus paru;2;-0.02;-3.31;3.13;-5.21;-51.68;38.14;18.73;-15.85;56.77;0.636
millepora alcicornis;scarus zelindae;2;0.35;-2.67;3.52;20.75;3.51;48.05;10.44;-0.79;40.58;0.493
millepora alcicornis;anisotremus moricandi;2;-1.45;-5.19;2.45;-9.75;-42.66;7.58;6.15;-38.01;55.88;0.367
millepora alcicornis;sphoeroides spengleri;2;0.18;-1.46;2.5;2.99;-0.11;10.39;4.75;0.29;25.05;0.177
millepora alcicornis;chaetodon sedentarius;2;-1.96;-3.03;-0.97;2.46;0.5;2.84;0.24;-0.95;1.35;0.719
millepora alcicornis;bodianus pulchellus;2;0.01;-2.71;2.83;21.94;2.21;51.68;28.13;2.73;63.02;0.68
millepora alcicornis;chilomycterus spinosus spinosus;2;-0.42;-3.49;2.51;37.76;9.44;76.8;3.06;-17.83;25.15;0.664
