Coral;Fish;Age class;intercept;low.int;high.int;estimate.coral;low.coral;high.coral;estimate.turf;low.turf;high.turf;Bayesian P-value
agaricia spp;;;;;;;;;;;;
;stegastes rocasensis;1;-2.58;-4.62;-1.21;-4.54;-12.24;-0.13;-0.19;-0.9;0.59;0.528
;aluterus scriptus;1;-0.66;-2.68;2.35;1.71;-5.85;13.8;0.51;-0.85;2.22;0.22
;melichthys niger;1;-3.63;-5.94;-2.06;-3.73;-11.9;0.21;-0.31;-1.31;0.75;0.39
;rypticus saponaceus;1;-0.08;-2.98;2.86;18.28;-1.5;49.79;27.7;2.25;63.99;0.777
;mulloidichthys martinicus;1;-0.18;-2.29;2.34;9.46;1.29;20.68;0.01;-1.5;1.58;0.519
;caranx latus;1;-0.94;-3.82;2.09;10.4;-1.31;33.12;17.69;1.1;57.6;0.394
;diodon hystrix;1;0;-3.03;3;-15.25;-52.29;11.19;-27.39;-68.88;10.55;0.437
;cryptotomus roseus;1;-1.52;-2.84;0.78;-0.58;-4.43;8.78;0.58;-0.75;1.33;0.051
;odontoscion dentex;1;-2.19;-5.28;1.24;0.31;-18.37;33.99;13.72;0.65;52.64;0.382
;aluterus monoceros;1;-0.69;-3.72;2.14;42.63;14.9;80.18;2;-5.53;11.2;0.328
;haemulon steindachneri;1;-0.56;-3.79;2.33;21.16;-4.49;51.72;33.52;10.23;64.38;0.5
;lactophrys trigonus;1;-0.68;-3.64;2.08;39.96;10.95;76.11;3.41;-4.78;14.9;0.35
;mycteroperca acutirostris;1;-0.64;-2.18;1.36;-4.26;-19.65;4.43;5.79;1.37;18.97;0.268
;sphoeroides spengleri;1;0.15;-1.28;1.71;-6.82;-16.63;-0.88;4.8;1.31;9.83;0.011
;synodus intermedius;1;0.14;-2.16;2.6;47.57;18.97;84.59;2.96;-5.11;12.63;0.45
;balistes vetula;1;-0.14;-3.35;2.97;-31.06;-68.02;-1.21;-10.9;-38.95;22.6;0.319
;canthigaster figueiredoi;1;-1.25;-4.07;1.94;-19.64;-59.42;-0.44;7.9;-0.4;28.71;0.11
;chilomycterus spinosus spinosus;1;-0.11;-3.07;3.01;-30.12;-69.39;-0.88;-8.71;-28.11;11.59;0.143
;diplodus argenteus;1;-1.89;-4.17;-0.36;-7.13;-16.37;-1.21;1.4;0.54;2.47;0.286
;labrisomus nuchipinnis;1;0;-3.24;3.07;-31.55;-72.27;-0.12;5.4;-19.33;32.17;0.457
;dactylopterus volitans;1;-0.15;-3.69;2.9;-14.31;-53.85;19.44;0.43;-49.56;59.64;0.545
;kyphosus sectatrix;1;0.22;-2.86;3.28;-22.72;-57.28;4.44;-3.58;-51.99;49.4;0.567
;aulostomus strigosus;1;-0.21;-3.46;2.84;-16.72;-53.16;12.17;-12.98;-66.42;41.64;0.606
;caranx crysos;1;0.05;-2.81;2.84;-19.92;-53.53;3.6;-14.32;-67.73;48.73;0.544
;fistularia tabacaria;1;-0.09;-3.29;2.95;-31.59;-71.17;-0.31;2.39;-21.48;29.8;0.629
;chaenopsis ocellata;1;-0.14;-3.55;3;-14.92;-51.63;14.55;-6.25;-54.36;48.54;0.532
;chaetodon striatus;1;-0.55;-3.64;2.69;-25.8;-70.83;-0.16;-2.36;-22.23;14.71;0.131
;priacanthus arenatus;1;-1.58;-5.33;2.24;5.1;-11.92;25.43;0.39;-2.46;3.69;0.504
;bodianus pulchellus;1;-2.42;-4.48;-1.07;-4.64;-12.57;-0.21;0.26;-0.48;1.09;0.096
;chaetodon sedentarius;1;-0.53;-4.14;2.79;-19.05;-58.04;5.61;13.47;-18.01;58.41;0.268
;elacatinus figaro;1;-0.23;-3.85;2.86;-12.69;-47.64;16.04;-10.16;-60.66;45.56;0.542
;serranus baldwini;1;-0.07;-3.08;2.98;-19.65;-65.96;9.69;0.5;-15.12;15.58;0.379
;sphoeroides greeleyi;1;-0.15;-3.65;2.92;-16.18;-54.98;13.78;-2.49;-58.33;50.48;0.549
;stephanolepis hispidus;1;-2.25;-4.35;-0.89;-5.37;-13.63;-0.41;0.27;-0.41;1.01;0.01
;sparisoma tuiupiranga;1;-2.24;-4.91;1.34;-9.77;-52.58;4.44;-0.52;-15.99;10.21;0.384
;epinephelus morio;1;-0.56;-3.72;2.61;-19.82;-61.17;7.08;11.7;0.35;35.97;0.253
;heteropriacanthus cruentatus;1;-0.4;-3.77;2.65;-8.77;-48.78;28.38;-27.27;-63.99;1.41;0.465
;myrichthys ocellatus;1;-0.36;-3.83;2.75;-7.89;-51.91;32.33;-26.74;-66.76;9.74;0.464
;acanthostracion quadricornis;1;-0.52;-4.01;2.52;2.33;-41.3;40.57;-26.03;-66.65;1.1;0.395
;epinephelus marginatus;1;-2.5;-5.25;-0.11;-5.8;-16.89;2.65;7.85;1.33;25.61;0.096
;mugil curema;1;-0.64;-4.17;2.41;10.94;-32.91;54.84;-21.95;-58.76;0.27;0.377
;orthopristis ruber;1;0.06;-2.48;2.65;21.74;-25.3;62.69;27.82;5.74;62.04;0.126
;kyphosus vaigiensis;1;-2.43;-6.53;1.79;4.48;-32.09;51.15;9.82;-0.34;42.85;0.149
;mycteroperca interstitialis;1;-0.71;-4.49;2.36;16.09;-14.48;52.17;15.11;-0.06;46.11;0.534
