"eventID","higherGeography","verbatimLocality","site","locality","year","eventDate","minimumDepthinMeters","maximumDepthinMeters","samplingProtocol","samplingEffort","sampleSizeValue","decimalLongitude","decimalLatitude","geodeticDatum","Country","countryCode"
"22","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_mato_verde_2010_video3","BrazilianCoast","mato_verde","abrolhos","mato_verde",2010,2010-03-01,4.1,4.1,"video plot",14,2,-38.69527778,-17.96472222,"decimal degrees","Brazil","BR"
"23","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_mato_verde_2010_video5","BrazilianCoast","mato_verde","abrolhos","mato_verde",2010,2010-03-01,4.1,4.1,"video plot",14,2,-38.69527778,-17.96472222,"decimal degrees","Brazil","BR"
"24","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_mato_verde_2010_video6","BrazilianCoast","mato_verde","abrolhos","mato_verde",2010,2010-03-01,4.1,4.1,"video plot",14,2,-38.69527778,-17.96472222,"decimal degrees","Brazil","BR"
"25","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_mato_verde_2010_video7","BrazilianCoast","mato_verde","abrolhos","mato_verde",2010,2010-03-01,4.1,4.1,"video plot",14,2,-38.69527778,-17.96472222,"decimal degrees","Brazil","BR"
"26","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_mato_verde_2010_video8","BrazilianCoast","mato_verde","abrolhos","mato_verde",2010,2010-03-01,4.1,4.1,"video plot",14,2,-38.69527778,-17.96472222,"decimal degrees","Brazil","BR"
"27","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_portinho_norte_2010_video1","BrazilianCoast","portinho_norte","abrolhos","portinho_norte",2010,2010-03-03,3.97728813559322,3.97728813559322,"video plot",6,2,-38.69777778,-17.96138889,"decimal degrees","Brazil","BR"
"28","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_portinho_norte_2010_video2","BrazilianCoast","portinho_norte","abrolhos","portinho_norte",2010,2010-03-03,3.64169884169884,3.64169884169884,"video plot",6,2,-38.69777778,-17.96138889,"decimal degrees","Brazil","BR"
"29","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_portinho_norte_2010_video3","BrazilianCoast","portinho_norte","abrolhos","portinho_norte",2010,2010-03-03,3.54129793510324,3.54129793510324,"video plot",6,2,-38.69777778,-17.96138889,"decimal degrees","Brazil","BR"
"30","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_portinho_norte_2010_video4","BrazilianCoast","portinho_norte","abrolhos","portinho_norte",2010,2010-03-03,2.52296650717703,2.52296650717703,"video plot",6,2,-38.69777778,-17.96138889,"decimal degrees","Brazil","BR"
"31","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_portinho_norte_2010_video5","BrazilianCoast","portinho_norte","abrolhos","portinho_norte",2010,2010-03-03,2.32662337662338,2.32662337662338,"video plot",6,2,-38.69777778,-17.96138889,"decimal degrees","Brazil","BR"
"32","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_portinho_norte_2010_video6","BrazilianCoast","portinho_norte","abrolhos","portinho_norte",2010,2010-03-04,2.3046357615894,2.3046357615894,"video plot",6,2,-38.69777778,-17.96138889,"decimal degrees","Brazil","BR"
