"coral";"peixe";"intercept";"low.int";"high.int";"estimate";"low";"high";"sp";"mID";"mRdmP"
"teste.5%101";"Mussismilia.hispida";"Mycteroperca acutirostris";-0.410840071956081;-1.27665512369142;0.538880454998335;2.95121226905117;1.26620653802793;5.12643538122714;"Mycteroperca acutirostris";0.304;0.289
"teste.5%8";"Porites.astreoides";"Coryphopterus glaucofraenum";0.553052137055363;-1.44541642450919;3.16100944049549;3.95176673792499;0.245608820488801;10.216604112333;"Coryphopterus glaucofraenum";0.696;0.695
"teste.5%42";"Porites.astreoides";"Cryptotomus roseus";-0.510404493866167;-1.24414007211398;0.272855205240351;0.39804008145176;-0.837863418951769;1.7400510923767;"Cryptotomus roseus";0.034;0.038
"teste.5%72";"Porites.astreoides";"Chaetodon sedentarius";-1.00826432105379;-2.04100914571763;0.546844951264892;0.327601355104366;-1.54146944539088;4.04469708499759;"Chaetodon sedentarius";0.152;0.143
"teste.5%19";"Porites.astreoides";"Chaetodon striatus";1.44476580912573;0.43559854184405;3.05356935319454;0.743206196128539;-1.06047444663575;4.55618138824847;"Chaetodon striatus";0.066;0.075
"teste.5%22";"Porites.astreoides";"Sparisoma frondosum";2.48815142029765;1.09713863208305;4.72268869059669;3.58635008330008;0.190371227511251;9.46613158546021;"Sparisoma frondosum";0.113;0.137
"teste.5%32";"Porites.astreoides";"Acanthurus chirurgus";1.23934705780028;0.543904044648399;2.06846344337873;-0.344865334838465;-1.17280536625715;0.452989277738682;"Acanthurus chirurgus";0;0.001
"teste.5%102";"Porites.astreoides";"Sparisoma amplum";1.02912441043825;-1.09288002805;3.74855142714699;8.7585406969728;1.82679444025352;17.1854074441438;"Sparisoma amplum";0.055;0.055
"teste.5%62";"Porites.astreoides";"Bodianus rufus";0.194362596950274;-0.473710734632734;0.861635726677289;-0.770405350772726;-1.79725274441536;0.0295160509257287;"Bodianus rufus";0.36;0.375
"teste.5%110";"Porites.astreoides";"Sparisoma axillare";3.57417308778302;1.93626422839706;5.99447242218689;2.62753661679072;-0.306912500705656;8.0693531677449;"Sparisoma axillare";0;0
"teste.5%52";"Porites.astreoides";"Halichoeres radiatus";-0.373107215610074;-1.13507078713888;0.588229958985756;1.05228790374933;-0.0610818091859638;3.1690012962952;"Halichoeres radiatus";0.074;0.076
"teste.5%112";"Siderastrea.spp";"Coryphopterus glaucofraenum";-0.145802549672919;-2.13932139442342;2.53299319483154;1.49017841712503;-0.249947859655539;4.11692708364226;"Coryphopterus glaucofraenum";0.598;0.63
"teste.5%92";"Siderastrea.spp";"Chaetodon sedentarius";-1.14670255330632;-2.00161645947581;-0.346710160165719;0.224500092695762;-0.608395932274818;1.06258846915437;"Chaetodon sedentarius";0.168;0.144
"teste.5%20";"Siderastrea.spp";"Abudefduf saxatilis";2.04516384165583;1.03051533937734;3.62488892892674;0.400267180926622;-0.714915551703153;1.86530142235282;"Abudefduf saxatilis";0.085;0.082
"teste.5%103";"Siderastrea.spp";"Halichoeres dimidiatus";-0.282006413102615;-1.15822167221014;0.874446316107515;0.258439627527729;-0.681180687292938;1.30546536184086;"Halichoeres dimidiatus";0.318;0.346
"teste.5%113";"Siderastrea.spp";"Acanthurus bahianus";1.83813760952143;1.00011518380001;2.79727146240686;-0.275617187204734;-1.23846816289098;0.659489478077112;"Acanthurus bahianus";0.01;0.007
"teste.5%53";"Siderastrea.spp";"Acanthurus chirurgus";1.43104898283505;0.613436716478888;2.46651206827781;0.82475053199071;-0.0180593395833135;1.84410932975411;"Acanthurus chirurgus";0.004;0.002
"teste.5%63";"Siderastrea.spp";"Holocentrus adscensionis";1.08995578815648;0.384558171649807;1.87237771385718;0.485282002089702;-0.269605469834806;1.3053275881427;"Holocentrus adscensionis";0.001;0.001
