eventID,higherGeographyID,locationID,verbatimLocality,locality,eventYear,eventDate,minimumDepthinMeters,maximumDepthinMeters,samplingProtocol,samplingEffort,sampleSizeValue,decimalLongitude,decimalLatitude,geodeticDatum,Country,countryCode
26,BR:SISBIOTA-MAR:abrolhos_portinho_norte_2010_Video4,BrazilianCoast,abrolhos,portinho_norte,portinho_norte,2010,2010-03-05,1,7,photoquadrats,5,0.0625,-38.69777778,-17.96138889,decimal degrees,Brazil,BR
27,BR:SISBIOTA-MAR:abrolhos_portinho_norte_2010_Video5,BrazilianCoast,abrolhos,portinho_norte,portinho_norte,2010,2010-03-05,1,7,photoquadrats,5,0.0625,-38.69777778,-17.96138889,decimal degrees,Brazil,BR
28,BR:SISBIOTA-MAR:abrolhos_portinho_norte_2010_Video6,BrazilianCoast,abrolhos,portinho_norte,portinho_norte,2010,2010-03-05,1,7,photoquadrats,5,0.0625,-38.69777778,-17.96138889,decimal degrees,Brazil,BR
29,BR:SISBIOTA-MAR:abrolhos_portinho_norte_2010_Video8,BrazilianCoast,abrolhos,portinho_norte,portinho_norte,2010,2010-03-05,1,7,photoquadrats,5,0.0625,-38.69777778,-17.96138889,decimal degrees,Brazil,BR
30,BR:SISBIOTA-MAR:abrolhos_portinho_norte_2010_Video9,BrazilianCoast,abrolhos,portinho_norte,portinho_norte,2010,2010-03-05,1,7,photoquadrats,5,0.0625,-38.69777778,-17.96138889,decimal degrees,Brazil,BR
31,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video1,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
32,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video10,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
33,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video11,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
34,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video12,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
35,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video13,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
36,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video14,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
37,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video15,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
38,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video17,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
39,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video2,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
40,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video3,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
41,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video4,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
42,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video5,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
43,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video6,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
44,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video8,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
45,BR:SISBIOTA-MAR:abrolhos_siriba_2011_Video9,BrazilianCoast,abrolhos,siriba,siriba,2011,2011-03-02,1,7,photoquadrats,5,0.0625,-38.71583333,-17.97055556,decimal degrees,Brazil,BR
46,BR:SISBIOTA-MAR:alcatrazes_portinho_sudoeste_2010_Video1,BrazilianCoast,alcatrazes,portinho_sudoeste,portinho_sudoeste,2010,2010-03-05,3.8,10.2,photoquadrats,5,0.0625,-45.702491,-24.105182,decimal degrees,Brazil,BR
47,BR:SISBIOTA-MAR:alcatrazes_portinho_sudoeste_2010_Video2,BrazilianCoast,alcatrazes,portinho_sudoeste,portinho_sudoeste,2010,2010-03-05,3.8,10.2,photoquadrats,5,0.0625,-45.702491,-24.105182,decimal degrees,Brazil,BR
48,BR:SISBIOTA-MAR:alcatrazes_portinho_sudoeste_2010_Video3,BrazilianCoast,alcatrazes,portinho_sudoeste,portinho_sudoeste,2010,2010-03-05,5.2,11.8,photoquadrats,5,0.0625,-45.702491,-24.105182,decimal degrees,Brazil,BR
49,BR:SISBIOTA-MAR:alcatrazes_portinho_sudoeste_2010_Video4,BrazilianCoast,alcatrazes,portinho_sudoeste,portinho_sudoeste,2010,2010-03-05,5.2,11.8,photoquadrats,5,0.0625,-45.702491,-24.105182,decimal degrees,Brazil,BR
50,BR:SISBIOTA-MAR:alcatrazes_portinho_sudoeste_2010_Video5,BrazilianCoast,alcatrazes,portinho_sudoeste,portinho_sudoeste,2010,2010-03-05,1,7,photoquadrats,5,0.0625,-45.702491,-24.105182,decimal degrees,Brazil,BR
51,BR:SISBIOTA-MAR:alcatrazes_portinho_sudoeste_2010_Video6,BrazilianCoast,alcatrazes,portinho_sudoeste,portinho_sudoeste,2010,2010-03-05,1,7,photoquadrats,5,0.0625,-45.702491,-24.105182,decimal degrees,Brazil,BR
52,BR:SISBIOTA-MAR:arraial_anequim_2010_,BrazilianCoast,arraial,anequim,anequim,2010,2010-04-17,1,7,photoquadrats,5,0.0625,-41.984482,-22.980484,decimal degrees,Brazil,BR
53,BR:SISBIOTA-MAR:arraial_anequim_2010_Video1,BrazilianCoast,arraial,anequim,anequim,2010,2010-04-17,5.66666666666667,12.3333333333333,photoquadrats,5,0.0625,-41.984482,-22.980484,decimal degrees,Brazil,BR
54,BR:SISBIOTA-MAR:arraial_anequim_2010_Video2,BrazilianCoast,arraial,anequim,anequim,2010,2010-04-17,3.33333333333333,9.66666666666667,photoquadrats,5,0.0625,-41.984482,-22.980484,decimal degrees,Brazil,BR
55,BR:SISBIOTA-MAR:arraial_anequim_2010_Video3,BrazilianCoast,arraial,anequim,anequim,2010,2010-04-17,1,7,photoquadrats,5,0.0625,-41.984482,-22.980484,decimal degrees,Brazil,BR
